,Latitude,Longitude,O3BelowCloud,UVAerosolIndex
0,-84.510635,64.42832,0.0,-0.05595666
1,-86.04001,50.238564,0.0,0.11728304
2,-86.80426,32.962746,0.0,-0.06944064
3,-87.09197,12.900585,0.0,-0.3084738
4,-86.99505,-5.4535904,0.0,-0.14973256
5,-86.661865,-19.326788,0.0,-0.21888472
6,-86.21585,-29.006413,0.0,-0.52929074
7,-85.726875,-35.727863,0.0,-0.47482333
8,-85.228226,-40.51204,0.0,-0.43317333
9,-84.73449,-44.026676,0.0,-0.72406346
10,-84.25132,-46.688625,0.0,-0.7220137
11,-83.78015,-48.760326,0.0,-0.7830077
12,-83.32039,-50.41117,0.0,-0.6900793
13,-82.87045,-51.753643,0.0,-0.755637
14,-82.4283,-52.864487,0.0,-0.8601445
15,-81.99163,-53.797333,0.0,-0.8042735
16,-81.55803,-54.59042,0.0,-0.8070086
17,-81.25502,-55.078705,0.0,-0.8517531
18,-81.0382,-55.39697,0.0,-0.5950488
19,-80.68978,-55.86081,0.0,-0.49436867
20,-80.24975,-56.373417,-1.2676506e+30,-1.2676506e+30
21,-79.80189,-56.820316,-1.2676506e+30,-1.2676506e+30
22,-79.34298,-57.20949,-1.2676506e+30,-1.2676506e+30
23,-78.86946,-57.54652,-1.2676506e+30,-1.2676506e+30
24,-78.37727,-57.834988,-1.2676506e+30,-1.2676506e+30
25,-77.86174,-58.07675,-1.2676506e+30,-1.2676506e+30
26,-77.317345,-58.272095,-1.2676506e+30,-1.2676506e+30
27,-76.737404,-58.419773,-1.2676506e+30,-1.2676506e+30
28,-76.113686,-58.517006,-1.2676506e+30,-1.2676506e+30
29,-75.43576,-58.559357,-1.2676506e+30,-1.2676506e+30
30,-74.690056,-58.540554,-1.2676506e+30,-1.2676506e+30
31,-73.858315,-58.452206,-1.2676506e+30,-1.2676506e+30
32,-72.91499,-58.28338,-1.2676506e+30,-1.2676506e+30
33,-71.82257,-58.020027,-1.2676506e+30,-1.2676506e+30
34,-70.52213,-57.644062,-1.2676506e+30,-1.2676506e+30
35,-68.82091,-57.10103,-1.2676506e+30,-1.2676506e+30
36,-84.82244,67.57261,0.0,-0.10499361
37,-86.41642,53.43327,0.0,0.0916127
38,-87.22929,34.58436,0.0,-0.14102425
39,-87.51995,11.2304945,0.0,0.17464145
40,-87.373055,-9.907752,0.0,-0.01895827
41,-86.97472,-24.84995,0.0,-0.2604447
42,-86.47332,-34.582294,0.0,-0.29889938
43,-85.94251,-41.00354,0.0,-0.5120507
44,-85.41289,-45.41245,0.0,-0.5756525
45,-84.89591,-48.56741,0.0,-0.63343436
46,-84.39495,-50.90873,0.0,-0.64915407
47,-83.90985,-52.70048,0.0,-0.9536562
48,-83.438965,-54.107414,0.0,-1.0099657
49,-82.97998,-55.236233,0.0,-0.9109838
50,-82.53034,-56.15833,0.0,-1.0861545
51,-82.087395,-56.92283,0.0,-0.98689985
52,-81.64847,-57.564274,0.0,-1.0144409
53,-81.34219,-57.954754,0.0,-1.0570368
54,-81.12325,-58.206757,0.0,-0.73337245
55,-80.77176,-58.570107,0.0,-0.66581637
56,-80.32834,-58.96539,0.0,-0.56598616
57,-79.87755,-59.302643,0.0,-0.62423426
58,-79.416115,-59.5885,-1.2676506e+30,-1.2676506e+30
59,-78.94044,-59.82738,-1.2676506e+30,-1.2676506e+30
60,-78.44644,-60.021896,-1.2676506e+30,-1.2676506e+30
61,-77.92944,-60.17303,-1.2676506e+30,-1.2676506e+30
62,-77.38391,-60.280304,-1.2676506e+30,-1.2676506e+30
63,-76.803185,-60.341763,-1.2676506e+30,-1.2676506e+30
64,-76.17906,-60.353943,-1.2676506e+30,-1.2676506e+30
65,-75.501144,-60.311745,-1.2676506e+30,-1.2676506e+30
66,-74.755905,-60.2082,-1.2676506e+30,-1.2676506e+30
67,-73.925156,-60.03414,-1.2676506e+30,-1.2676506e+30
68,-72.983444,-59.777744,-1.2676506e+30,-1.2676506e+30
69,-71.89335,-59.423805,-1.2676506e+30,-1.2676506e+30
70,-70.596115,-58.952625,-1.2676506e+30,-1.2676506e+30
71,-68.89941,-58.30187,-1.2676506e+30,-1.2676506e+30
72,-85.11609,71.11395,0.0,-0.002717033
73,-86.77863,57.3741,0.0,-0.01196444
74,-87.651054,36.810635,0.0,-0.012341335
75,-87.9451,8.889806,0.0,-0.13714473
76,-87.73044,-15.791166,0.0,0.4481855
77,-87.25387,-31.556181,0.0,-0.009117689
78,-86.6931,-40.95738,0.0,-0.16630626
79,-86.120865,-46.81057,0.0,-0.51212597
80,-85.56211,-50.67781,0.0,-0.18824382
81,-85.0241,-53.36926,0.0,-0.52598256
82,-84.50746,-55.322918,0.0,-0.36142367
83,-84.010376,-56.789707,0.0,-0.5691796
84,-83.53008,-57.921356,0.0,-0.63214284
85,-83.06358,-58.813896,0.0,-0.99476767
86,-82.607834,-59.530457,0.0,-1.1860664
87,-82.15985,-60.113815,0.0,-1.0990815
88,-81.71672,-60.59366,0.0,-1.0906608
89,-81.407906,-60.880604,0.0,-1.1043161
90,-81.18734,-61.062763,0.0,-0.97329986
91,-80.83351,-61.320625,0.0,-0.9241345
92,-80.38757,-61.59334,0.0,-0.9505697
93,-79.93468,-61.816605,0.0,-0.87897426
94,-79.4715,-61.995487,0.0,-0.8969314
95,-78.9944,-62.133133,0.0,-0.6822037
96,-78.499306,-62.231045,-1.2676506e+30,-1.2676506e+30
97,-77.98151,-62.28928,-1.2676506e+30,-1.2676506e+30
98,-77.43551,-62.306515,-1.2676506e+30,-1.2676506e+30
99,-76.85465,-62.28004,-1.2676506e+30,-1.2676506e+30
100,-76.23076,-62.205673,-1.2676506e+30,-1.2676506e+30
101,-75.553474,-62.077614,-1.2676506e+30,-1.2676506e+30
102,-74.80934,-61.88816,-1.2676506e+30,-1.2676506e+30
103,-73.980225,-61.62736,-1.2676506e+30,-1.2676506e+30
104,-73.04077,-61.282455,-1.2676506e+30,-1.2676506e+30
105,-71.953674,-60.83706,-1.2676506e+30,-1.2676506e+30
106,-70.66033,-60.269836,-1.2676506e+30,-1.2676506e+30
107,-68.9689,-59.510475,-1.2676506e+30,-1.2676506e+30
108,-85.38786,75.076164,0.0,0.11619601
109,-87.120674,62.26986,0.0,-0.063722335
110,-88.066536,40.003532,0.0,-0.11593096
111,-88.3642,5.363449,0.0,-0.3650777
112,-88.05499,-23.7201,0.0,-0.10783122
113,-87.48747,-39.616524,0.0,0.03087625
